Subject_code,mean_zscore,Quad
1,-0.169165567090057,3
1,0.0929297787866284,4
1,-0.990291282879552,2
1,-1.14637373012575,1
2,-1.08850511676476,3
2,-1.54411737063442,4
2,-0.972481784020314,2
2,0.39940110427825,1
3,-0.228567862288736,3
3,-0.941299043872854,4
3,0.898874878636395,2
3,0.533394235896062,1
4,0.191057309811257,3
4,-0.286745305754142,4
4,-0.467347414969874,2
4,1.12673564113961,1
5,-0.110531325556602,3
5,-0.137582675683437,4
5,1.10996864477085,2
5,-0.0599471693474862,1
6,-1.30178432477514,3
6,-1.31955039542077,4
6,-0.093222860987782,2
6,0.867288879989051,1
7,-1.14083943669988,3
7,-1.76633918102766,4
7,-0.349809557258968,2
7,0.590359426521866,1
8,0.24491262590773,3
8,0.235397689310812,4
8,1.12673564113961,2
8,1.12673564113961,1
9,-0.948610357591478,3
9,-0.0265282098726549,4
9,0.0721816001686047,2
9,-0.213265116469614,1
10,-0.731668385266184,3
10,0.591075122469726,4
10,0.762158421134465,2
10,1.12673564113961,1
11,-1.12814984071065,3
11,-0.602927986624085,4
11,-0.486048659572935,2
11,0.511511582380928,1
12,-1.05342568689481,3
12,-1.07345952902101,4
12,-0.486048659572935,2
12,0.955840069262199,1
13,-1.4252787835393,3
13,-1.49747148935218,4
13,0.590359426521866,2
13,0.842559653420923,1
14,0.672314046953843,3
14,0.179443370276148,4
14,0.199340473407087,2
14,0.990019183637681,1
15,0.476429045270258,3
15,0.898874878636395,4
15,-0.898323114341073,2
15,0.12596818927439,1
16,1.12673564113961,3
16,0.388463041940321,4
16,0.388463041940321,2
16,0.955840069262199,1
17,-1.16981742855112,3
17,-0.275045437632001,4
17,0.0740170540303178,2
17,-0.0285202890961294,1
18,-1.46994098446547,3
18,-0.40173831310231,4
18,0.443153353629963,2
18,1.12673564113961,1
19,0.262172773004871,3
19,0.727704071416884,4
19,0.442291633642125,2
19,0.845875484320775,1
20,0.0372769123227661,3
20,0.0963626187747113,4
20,0.613825270435123,2
20,-0.0232396647698889,1
21,-0.595495410960117,3
21,-0.657442858693481,4
21,0.730565812698304,2
21,0.378913315268051,1
22,-0.483047480619065,3
22,-0.191911560281467,4
22,-0.0232396647698888,2
22,0.442291633642125,1
23,-0.307221231903938,3
23,0.269327126208418,4
23,0.38463679783089,2
23,0.672910976887068,1
24,-0.889493072579134,3
24,-1.06818106257568,4
24,0.325551091378944,2
24,0.211672290397183,1
25,0.0963626187747112,3
25,0.149724842663818,4
25,0.730565812698304,2
25,0.672910976887068,1
26,-0.134256724470231,3
26,0.0963626187747113,4
26,-0.0766018886589958,2
26,0.672910976887068,1
27,-0.372030420918722,3
27,-0.201927654766434,4
27,0.499946469453361,2
27,0.498515598812652,1
28,0.0949317481340017,3
28,0.38320592719018,4
28,0.325551091378944,2
28,0.78535890722812,1
29,-0.0766018886589958,3
29,-0.54213318707101,4
29,0.38320592719018,2
29,-0.0232396647698889,1
