Subject_code,Top,Right,mean_zscore
1,0,0,-0.169165567090057
1,0,1,0.0929297787866284
1,1,0,-0.990291282879552
1,1,1,-1.14637373012575
2,0,0,-1.08850511676476
2,0,1,-1.54411737063442
2,1,0,-0.972481784020314
2,1,1,0.39940110427825
3,0,0,-0.228567862288736
3,0,1,-0.941299043872854
3,1,0,0.898874878636395
3,1,1,0.533394235896062
4,0,0,0.191057309811257
4,0,1,-0.286745305754142
4,1,0,-0.467347414969874
4,1,1,1.12673564113961
5,0,0,-0.110531325556602
5,0,1,-0.137582675683437
5,1,0,1.10996864477085
5,1,1,-0.0599471693474862
6,0,0,-1.30178432477514
6,0,1,-1.31955039542077
6,1,0,-0.093222860987782
6,1,1,0.867288879989051
7,0,0,-1.14083943669988
7,0,1,-1.76633918102766
7,1,0,-0.349809557258968
7,1,1,0.590359426521866
8,0,0,0.24491262590773
8,0,1,0.235397689310812
8,1,0,1.12673564113961
8,1,1,1.12673564113961
9,0,0,-0.948610357591478
9,0,1,-0.0265282098726549
9,1,0,0.0721816001686047
9,1,1,-0.213265116469614
10,0,0,-0.731668385266184
10,0,1,0.591075122469726
10,1,0,0.762158421134465
10,1,1,1.12673564113961
11,0,0,-1.12814984071065
11,0,1,-0.602927986624085
11,1,0,-0.486048659572935
11,1,1,0.511511582380928
12,0,0,-1.05342568689481
12,0,1,-1.07345952902101
12,1,0,-0.486048659572935
12,1,1,0.955840069262199
13,0,0,-1.4252787835393
13,0,1,-1.49747148935218
13,1,0,0.590359426521866
13,1,1,0.842559653420923
14,0,0,0.672314046953843
14,0,1,0.179443370276148
14,1,0,0.199340473407087
14,1,1,0.990019183637681
15,0,0,0.476429045270258
15,0,1,0.898874878636395
15,1,0,-0.898323114341073
15,1,1,0.12596818927439
16,0,0,1.12673564113961
16,0,1,0.388463041940321
16,1,0,0.388463041940321
16,1,1,0.955840069262199
17,0,0,-1.16981742855112
17,0,1,-0.275045437632001
17,1,0,0.0740170540303178
17,1,1,-0.0285202890961294
18,0,0,-1.46994098446547
18,0,1,-0.40173831310231
18,1,0,0.443153353629963
18,1,1,1.12673564113961
19,0,0,0.262172773004871
19,0,1,0.727704071416884
19,1,0,0.442291633642125
19,1,1,0.845875484320775
20,0,0,0.0372769123227661
20,0,1,0.0963626187747113
20,1,0,0.613825270435123
20,1,1,-0.0232396647698889
21,0,0,-0.595495410960117
21,0,1,-0.657442858693481
21,1,0,0.730565812698304
21,1,1,0.378913315268051
22,0,0,-0.483047480619065
22,0,1,-0.191911560281467
22,1,0,-0.0232396647698888
22,1,1,0.442291633642125
23,0,0,-0.307221231903938
23,0,1,0.269327126208418
23,1,0,0.38463679783089
23,1,1,0.672910976887068
24,0,0,-0.889493072579134
24,0,1,-1.06818106257568
24,1,0,0.325551091378944
24,1,1,0.211672290397183
25,0,0,0.0963626187747112
25,0,1,0.149724842663818
25,1,0,0.730565812698304
25,1,1,0.672910976887068
26,0,0,-0.134256724470231
26,0,1,0.0963626187747113
26,1,0,-0.0766018886589958
26,1,1,0.672910976887068
27,0,0,-0.372030420918722
27,0,1,-0.201927654766434
27,1,0,0.499946469453361
27,1,1,0.498515598812652
28,0,0,0.0949317481340017
28,0,1,0.38320592719018
28,1,0,0.325551091378944
28,1,1,0.78535890722812
29,0,0,-0.0766018886589958
29,0,1,-0.54213318707101
29,1,0,0.38320592719018
29,1,1,-0.0232396647698889
