Predictable-Short,Unpredictable-Short,Predictable-Long,Unpredictable-Long
2.05209483374983,3.39818242633388,2.28137942288868,1.30025983766708
2.28207309233327,1.37136818899986,1.30421953300001,1.28576129528645
1.86881195900021,2.00216789788935,1.13915806423114,1.21100844357112
2.03474036600035,1.41692825025063,1.84595439460045,2.48018503140001
2.77268421128565,2.68615751233468,1.75370529359993,1.81318556089991
2.45058024354512,3.17698247949897,2.56861463320029,1.22511844471468
3.72180528099974,5.52565848066585,3.13898607254538,2.0807154512861
4.28242691759961,1.65736294940007,2.83973390642846,3.81736974125033
2.5115493041424,1.6764326975005,3.02913987225006,3.11604972099849
1.57764099260007,2.01721234459988,1.99287816114218,2.54115515899963
